TIMESTAMP,AirTC_GMX_10m_Avg,RH_GMX_10m_Avg
2018-12-03 12:00:00,26.28255,47.68833
2018-12-03 12:30:00,26.82011,44.88945
2018-12-03 13:00:00,27.07639,42.46889
2018-12-03 13:30:00,27.43766,43.44
2018-12-03 14:00:00,28.20689,41.31389
2018-12-03 14:30:00,28.16572,40.36889
2018-12-03 15:00:00,28.46172,38.775
2018-12-03 15:30:00,28.54533,39.62222
2018-12-03 16:00:00,28.08311,41.21222
2018-12-03 16:30:00,27.84111,41.65055
2018-12-03 17:00:00,27.73639,41.82611
2018-12-03 17:30:00,26.95033,43.38722
2018-12-03 18:00:00,25.99472,45.17278
2018-12-03 18:30:00,25.13655,45.58722
2018-12-03 19:00:00,24.32083,46.13278
2018-12-03 19:30:00,23.25989,48.98444
2018-12-03 20:00:00,23.086,50.30889
2018-12-03 20:30:00,22.38794,52.96722
2018-12-03 21:00:00,21.5645,56.565
2018-12-03 21:30:00,21.86272,55.91111
2018-12-03 22:00:00,21.29689,57.99722
2018-12-03 22:30:00,20.08361,63.235
2018-12-03 23:00:00,19.65956,64.95611
2018-12-03 23:30:00,18.73472,67.48167
2018-12-04 00:00:00,18.53655,67.65444
2018-12-04 00:30:00,18.39917,67.13111
2018-12-04 01:00:00,17.54539,69.91611
2018-12-04 01:30:00,17.18961,71.36444
2018-12-04 02:00:00,17.01217,72.67333
2018-12-04 02:30:00,16.66383,73.82555
2018-12-04 03:00:00,16.44294,75.355
2018-12-04 03:30:00,16.22233,76.26611
2018-12-04 04:00:00,16.2925,76.43723
2018-12-04 04:30:00,15.67983,78.38
2018-12-04 05:00:00,15.70728,78.85389
2018-12-04 05:30:00,16.46356,77.39111
2018-12-04 06:00:00,16.12539,78.66
2018-12-04 06:30:00,15.81855,80.48666
2018-12-04 07:00:00,15.10372,82.84834
2018-12-04 07:30:00,15.70306,81.46
2018-12-04 08:00:00,16.62805,79.24223
2018-12-04 08:30:00,18.68605,73.67056
2018-12-04 09:00:00,21.00089,67.55889
2018-12-04 09:30:00,22.39211,60.73944
2018-12-04 10:00:00,22.72394,59.65167
2018-12-04 10:30:00,23.83694,57.35167
2018-12-04 11:00:00,24.51972,56.27778
2018-12-04 11:30:00,25.07905,56.27167
2018-12-04 12:00:00,25.8755,54.63945
2018-12-04 12:30:00,26.66322,53.09278
2018-12-04 13:00:00,27.5655,48.81667
2018-12-04 13:30:00,27.62539,48.28111
2018-12-04 14:00:00,28.00611,45.50667
2018-12-04 14:30:00,28.18672,44.56722
2018-12-04 15:00:00,28.16389,44.81333
2018-12-04 15:30:00,28.54994,43.43444
2018-12-04 16:00:00,28.47078,43.57111
2018-12-04 16:30:00,27.929,45.12778
2018-12-04 17:00:00,27.73789,45.95389
2018-12-04 17:30:00,27.22894,46.38389
2018-12-04 18:00:00,26.13,50.27222
2018-12-04 18:30:00,24.3845,55.55389
2018-12-04 19:00:00,24.26611,56.95722
2018-12-04 19:30:00,23.41244,59.98389
2018-12-04 20:00:00,23.01356,61.08944
2018-12-04 20:30:00,22.40178,62.77778
2018-12-04 21:00:00,22.16778,63.49722
2018-12-04 21:30:00,21.44872,65.85722
2018-12-04 22:00:00,20.66611,68.03056
2018-12-04 22:30:00,20.33422,68.77167
2018-12-04 23:00:00,20.21,69.91778
2018-12-04 23:30:00,20.34489,70.60944
2018-12-05 00:00:00,20.19094,71.80556
2018-12-05 00:30:00,20.09956,72.17778
2018-12-05 01:00:00,19.969,71.32389
2018-12-05 01:30:00,19.88733,70.90278
2018-12-05 02:00:00,20.11339,70.96722
2018-12-05 02:30:00,20.1165,72.87722
2018-12-05 03:00:00,19.81411,73.97
2018-12-05 03:30:00,18.99589,76.23778
2018-12-05 04:00:00,18.37672,79.065
2018-12-05 04:30:00,18.01572,78.72611
2018-12-05 05:00:00,18.04267,78.37945
2018-12-05 05:30:00,18.03211,78.83222
2018-12-05 06:00:00,17.88722,79.18723
2018-12-05 06:30:00,18.14894,78.71222
2018-12-05 07:00:00,18.04194,79.05389
2018-12-05 07:30:00,17.84339,80.08945
2018-12-05 08:00:00,18.77461,77.42278
2018-12-05 08:30:00,19.86072,75.85445
2018-12-05 09:00:00,21.74961,71.58334
2018-12-05 09:30:00,23.56111,61.53556
2018-12-05 10:00:00,24.42978,56.60389
2018-12-05 10:30:00,25.2485,52.83889
2018-12-05 11:00:00,26.14022,50.475
2018-12-05 11:30:00,26.98672,48.66333
2018-12-05 12:00:00,27.81783,46.45667
2018-12-05 12:30:00,28.23105,45.09945
2018-12-05 13:00:00,28.87094,44.55167
2018-12-05 13:30:00,29.23989,43.73667
2018-12-05 14:00:00,29.40277,42.84222
2018-12-05 14:30:00,29.59255,41.85667
2018-12-05 15:00:00,29.83322,41.64
2018-12-05 15:30:00,30.47528,40.42111
2018-12-05 16:00:00,30.149,41.81833
2018-12-05 16:30:00,29.71228,42.58278
2018-12-05 17:00:00,29.37522,45.66555
2018-12-05 17:30:00,27.89994,50.47
2018-12-05 18:00:00,26.83539,52.06278
2018-12-05 18:30:00,26.2835,52.84833
2018-12-05 19:00:00,25.15672,56.69944
2018-12-05 19:30:00,24.5785,58.94278
2018-12-05 20:00:00,23.37705,63.01333
2018-12-05 20:30:00,23.21967,63.86833
2018-12-05 21:00:00,21.90511,67.995
2018-12-05 21:30:00,21.70678,68.38167
2018-12-05 22:00:00,21.65794,69.61389
2018-12-05 22:30:00,20.49094,73.48055
2018-12-05 23:00:00,20.62278,74.07777
2018-12-05 23:30:00,20.0895,75.39222
2018-12-06 00:00:00,19.33567,79.08444
2018-12-06 00:30:00,19.17889,79.99167
2018-12-06 01:00:00,19.85061,78.44666
2018-12-06 01:30:00,19.57672,79.135
2018-12-06 02:00:00,18.58544,81.38722
2018-12-06 02:30:00,17.87522,83.40722
2018-12-06 03:00:00,17.52456,84.32555
2018-12-06 03:30:00,17.72672,84.53833
2018-12-06 04:00:00,17.42861,85.05278
2018-12-06 04:30:00,17.1895,85.96778
2018-12-06 05:00:00,17.27411,85.85167
2018-12-06 05:30:00,17.34756,85.685
2018-12-06 06:00:00,17.05055,85.34444
2018-12-06 06:30:00,16.78483,86.15389
2018-12-06 07:00:00,16.43561,87.26556
2018-12-06 07:30:00,16.35256,87.595
2018-12-06 08:00:00,17.45355,87.02944
2018-12-06 08:30:00,19.01811,82.53555
2018-12-06 09:00:00,22.31004,70.21566
2018-12-06 09:30:00,23.28533,69.37334
2018-12-06 10:00:00,25.43694,61.205
2018-12-06 10:30:00,26.13183,54.62833
2018-12-06 11:00:00,27.04272,52.30056
2018-12-06 11:30:00,27.53161,49.72722
2018-12-06 12:00:00,28.134,47.62722
2018-12-06 12:30:00,28.91622,46.37833
2018-12-06 13:00:00,29.87644,45.09278
2018-12-06 13:30:00,30.31533,43.34222
2018-12-06 14:00:00,30.45828,42.69556
2018-12-06 14:30:00,30.21178,43.47222
2018-12-06 15:00:00,30.64483,43.21889
2018-12-06 15:30:00,30.84161,42.37778
2018-12-06 16:00:00,30.67778,43.05111
2018-12-06 16:30:00,29.90878,46.21111
2018-12-06 17:00:00,29.65928,49.51556
2018-12-06 17:30:00,29.164,50.21556
2018-12-06 18:00:00,28.22755,52.405
2018-12-06 18:30:00,27.25356,55.24944
2018-12-06 19:00:00,26.31889,57.23833
2018-12-06 19:30:00,25.19283,61.08667
2018-12-06 20:00:00,24.31672,63.79445
2018-12-06 20:30:00,23.51122,66.40722
2018-12-06 21:00:00,23.12206,68.31333
2018-12-06 21:30:00,22.96122,68.61389
2018-12-06 22:00:00,22.38433,69.7
2018-12-06 22:30:00,21.88116,70.62334
2018-12-06 23:00:00,21.16717,72.66889
2018-12-06 23:30:00,20.81833,74.31223
